,id,majorName,year,minScore,categoryID_id,collegeID_id,c1,c2
0,183679,波斯语,2020,623,1,10036,文学,外国语言文学类
1,183715,阿拉伯语,2020,624,1,10036,文学,外国语言文学类
2,183716,朝鲜语,2020,624,1,10036,文学,外国语言文学类
3,183753,中国语言文学类(汉语国际教育、汉语言文学),2020,625,1,10036,文学,中国语言文学类
4,183754,政治学类(国际政治、政治学与行政学),2020,625,1,10036,法学,政治学类
5,183791,投资学,2020,626,1,10036,经济学,金融学类
6,183814,意大利语,2020,627,1,10036,文学,外国语言文学类
7,183815,葡萄牙语,2020,627,1,10036,文学,外国语言文学类
8,183816,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,627,1,10036,管理学,工商管理类
9,183817,保险学,2020,627,1,10036,经济学,金融学类
10,183851,经济学类(国际经济与贸易、财政学、税收学),2020,628,1,10036,经济学,"财政学类,经济学类,经济与贸易类"
11,183889,日语,2020,629,1,10036,文学,外国语言文学类
12,183890,西班牙语,2020,629,1,10036,文学,外国语言文学类
13,183940,德语,2020,630,1,10036,文学,外国语言文学类
14,183941,金融学类(金融学(国际金融与市场)、经济与金融),2020,630,1,10036,经济学,金融学类
15,183942,法学类(法学),2020,630,1,10036,法学,法学类
16,184018,法语,2020,632,1,10036,文学,外国语言文学类
17,184237,金融学,2020,637,1,10036,经济学,金融学类
18,184864,公共管理类(海关管理、行政管理、公共事业管理),2020,652,2,10036,管理学,公共管理类
19,184865,电子商务类(电子商务、信息管理与信息系统),2020,652,2,10036,管理学,"电子商务类,管理科学与工程类"
20,184908,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2020,653,2,10036,管理学,工商管理类
21,184909,法学类(法学),2020,653,2,10036,法学,法学类
22,184910,精算学,2020,653,2,10036,经济学,金融学类
23,184959,日语,2020,654,2,10036,文学,外国语言文学类
24,184960,西班牙语,2020,654,2,10036,文学,外国语言文学类
25,185011,德语,2020,655,2,10036,文学,外国语言文学类
26,185012,金融学,2020,655,2,10036,经济学,金融学类
27,185013,数据科学与大数据技术,2020,655,2,10036,工学,计算机类
28,185014,经济统计学,2020,655,2,10036,经济学,经济学类
29,185060,金融工程,2020,656,2,10036,经济学,金融学类
30,185084,法语,2020,657,2,10036,文学,外国语言文学类
31,185155,经济学类(国际经济与贸易、财政学、税收学),2020,659,2,10036,经济学,"财政学类,经济与贸易类,经济学类"
32,185156,金融学类(金融学(国际金融与市场)、经济与金融),2020,659,2,10036,经济学,金融学类
33,185157,金融工程(量化金融实验班),2020,659,2,10036,经济学,金融学类
34,200225,档案学,2020,598,1,10270,管理学,图书情报与档案管理类
35,200227,地理科学（师范）,2020,599,1,10270,理学,地理科学类
36,200230,法学,2020,602,1,10270,法学,法学类
37,200234,工商管理类,2020,600,1,10270,管理学,工商管理类
38,200239,公共管理类,2020,600,1,10270,管理学,公共管理类
39,200245,古典文献学,2020,598,1,10270,文学,中国语言文学类
40,200252,汉语国际教育,2020,600,1,10270,文学,中国语言文学类
41,200260,汉语言文学（基地班）,2020,604,1,10270,文学,中国语言文学类
42,200269,汉语言文学（师范）,2020,602,1,10270,文学,中国语言文学类
